bat_speed_ms,offset_mm,ev_mph,la_deg,spin_rpm,distance_m
34.0,-17.5,104.43263158426521,-13.033250543621053,3498.8503790080413,3.488239284404193
34.0,-15.0,105.07134269267429,-10.05899275692067,3058.430550387172,4.352602618943583
34.0,-12.5,105.60116377776527,-7.120739789591609,2622.056447266915,5.584919449282747
34.0,-10.0,106.02431603020779,-4.212107755690281,2191.8087074246587,7.809860867852822
34.0,-7.5,106.34251409855199,-1.3271608516659448,1771.7525884316933,11.788961079853328
34.0,-5.0,106.5569977059905,1.5396943633633287,1370.77999250722,19.085744726308242
34.0,-2.5,106.6685542150856,4.393801174743869,1011.166628839106,30.7925967487907
34.0,0.0,106.67753308275762,7.240335482894143,753.6762373741859,47.25263813590437
34.0,2.5,106.58385279652244,10.084382524628108,717.2295005250048,67.40002563699615
34.0,5.0,106.38700057556473,12.931010509906192,927.5243129654174,89.59539995732206
34.0,7.5,106.0860248336293,15.785343934032538,1266.6267945612785,107.27811332056625
34.0,10.0,105.67952011421767,18.65263931605981,1656.8630440529328,119.68202934569597
34.0,12.5,105.16560390156212,21.538366300338353,2069.174435655317,128.6227878694307
34.0,15.0,104.54188436032733,24.448297462280788,2492.3480297355236,134.46150120088893
34.0,17.5,103.80541763490815,27.388610830520157,2921.419149960338,137.1665555652671
34.0,20.0,102.95265280875707,30.366010159984203,3353.900140948462,136.82747402569132
34.0,22.5,101.97936193465775,33.38786949921061,3788.4147224760836,133.45327714113864
34.0,25.0,100.88055162567736,36.46241080339357,4224.137810380113,127.18559356103948
34.0,27.5,99.65035143684203,39.59892658781885,4660.539800699567,118.13416228092616
34.0,30.0,98.28187250816578,42.80806442939371,5097.259032547369,106.60814963595584
